sku_id,view_count,addtocart_count,wishlist_count,timestamp,sourcepage
62316095,24,0,0,04/04/2026,category
1982137274,29,1,2,04/04/2026,category
059035342X,48,1,3,04/04/2026,search
307474275,39,3,3,04/04/2026,home
140449132,42,4,0,04/04/2026,recommendation
61120081,4,0,0,04/04/2026,product
553386794,28,2,0,04/04/2026,search
544003411,13,1,0,04/04/2026,search
62316117,16,0,1,04/04/2026,search
143127748,11,1,0,04/04/2026,search
1594634025,51,2,0,04/04/2026,recommendation
038549081X,18,0,1,04/04/2026,product
62457713,66,2,1,04/04/2026,recommendation
142437239,62,0,1,04/04/2026,recommendation
030788744X,29,1,4,04/04/2026,recommendation
62315005,26,0,0,04/04/2026,search
596007120,13,0,0,04/04/2026,recommendation
262033844,20,1,1,04/04/2026,product
132350882,10,1,0,04/04/2026,home
735211299,27,1,2,04/04/2026,product
385472579,24,0,0,04/04/2026,recommendation
60850523,22,0,0,04/04/2026,category
143039954,38,1,0,04/04/2026,product
1501128035,30,1,1,04/04/2026,product
525559477,53,2,3,04/04/2026,product
804139296,14,0,0,04/04/2026,category
66620996,11,0,0,04/04/2026,category
006245773X,13,2,0,04/04/2026,home
451524934,10,1,0,04/04/2026,category
316769487,22,0,0,04/04/2026,home
671027034,59,1,4,04/04/2026,search
1982157283,35,1,0,04/04/2026,recommendation
593230256,26,3,0,04/04/2026,recommendation
345803485,47,1,0,04/04/2026,recommendation
081298160X,52,2,3,04/04/2026,home
590353403,7,1,0,04/04/2026,product
143110438,14,1,1,04/04/2026,category
307465357,44,4,0,04/04/2026,recommendation
140283331,13,0,0,04/04/2026,recommendation
62315008,9,2,0,04/04/2026,category
307346617,21,0,0,04/04/2026,home
61992275,21,2,0,04/04/2026,recommendation
006256577X,24,0,0,04/04/2026,search
1250316774,48,1,2,04/04/2026,search
62457715,36,2,0,04/04/2026,search
307277674,63,2,0,04/04/2026,category
385484518,27,1,1,04/04/2026,recommendation
1501173219,11,1,0,04/04/2026,home
143130722,64,3,0,04/04/2026,recommendation
399590501,10,0,0,04/04/2026,product
62316112,23,1,1,04/04/2026,recommendation
307719227,19,0,0,04/04/2026,product
143127550,18,0,0,04/04/2026,category
62315009,14,2,0,04/04/2026,home
143126562,14,0,0,04/04/2026,category
62316113,10,2,0,04/04/2026,search
307463740,39,1,4,04/04/2026,home
62871337,30,0,1,04/04/2026,home
307273601,54,1,2,04/04/2026,recommendation
1501161933,17,2,0,04/04/2026,product
140280197,19,0,0,04/04/2026,category
1455586691,48,4,0,04/04/2026,category
62316107,12,0,1,04/04/2026,search
140449266,33,6,1,04/04/2026,recommendation
679783275,70,5,1,04/04/2026,recommendation
307743657,90,4,6,04/04/2026,category
61122415,24,0,1,04/04/2026,recommendation
142437247,29,3,2,04/04/2026,category
553213119,15,0,0,04/04/2026,search
60853983,3,0,0,04/04/2026,search
131103627,18,2,0,04/04/2026,home
1491957660,21,1,1,04/04/2026,category
141182803,12,0,1,04/04/2026,recommendation
60935467,20,1,2,04/04/2026,recommendation
307387892,31,2,1,04/04/2026,search
140449334,91,2,2,04/04/2026,recommendation
812981606,61,6,4,04/04/2026,product
679734529,18,0,0,04/04/2026,product
307476463,39,2,1,04/04/2026,recommendation
62315001,34,4,0,04/04/2026,product
553573404,12,0,2,04/04/2026,product
62315002,13,0,1,04/04/2026,recommendation
1451673319,81,7,2,04/04/2026,product
261103573,5,1,0,04/04/2026,recommendation
140449273,20,1,0,04/04/2026,recommendation
307949486,12,0,0,04/04/2026,recommendation
62457716,64,3,2,04/04/2026,product
140449198,20,2,0,04/04/2026,search
679410430,5,1,0,04/04/2026,product
140449181,44,2,0,04/04/2026,category
307278449,35,4,2,04/04/2026,category
1591846445,13,0,0,04/04/2026,search
385545969,20,0,1,04/04/2026,home
62316114,18,0,0,04/04/2026,recommendation
143127745,46,1,1,04/04/2026,search
807014295,15,1,1,04/04/2026,product
525536291,60,1,1,04/04/2026,home
140449204,45,2,1,04/04/2026,search
307271037,17,0,0,04/04/2026,recommendation
90711001-BEIGE,92,6,1,04/04/2026,category
90711002-WHITE,39,1,1,04/04/2026,home
90711003-BLACK,28,1,0,04/04/2026,home
90711004-GREEN,22,2,1,04/04/2026,product
90711005-OAK,6,1,0,04/04/2026,product
90711006-BLUE,47,2,2,04/04/2026,search
90711007-GRAY,42,0,2,04/04/2026,product
90711008-WHITE,34,0,0,04/04/2026,category
90721001-BLACK,36,3,1,04/04/2026,search
90721002-WHITE,11,0,0,04/04/2026,search
90721003-BEIGE,46,1,3,04/04/2026,product
90721004-GREEN,17,2,2,04/04/2026,product
90721005-WOOD,28,1,0,04/04/2026,category
90721006-BLUE,11,0,0,04/04/2026,search
90721007-WHITE,37,2,0,04/04/2026,recommendation
90721008-GRAY,29,1,1,04/04/2026,product
90721009-BLACK,14,0,1,04/04/2026,home
90721010-WOOD,8,0,0,04/04/2026,product
90731001-WHITE,25,0,0,04/04/2026,home
90731002-GRAY,21,3,0,04/04/2026,search
90731003-BLACK,58,3,1,04/04/2026,home
90731004-BEIGE,10,0,0,04/04/2026,search
90731005-WOOD,22,0,1,04/04/2026,home
90731006-BLUE,39,3,3,04/04/2026,product
90731007-WHITE,23,1,0,04/04/2026,recommendation
90731008-GREEN,29,3,4,04/04/2026,category
90731009-GRAY,21,1,2,04/04/2026,product
90731010-BLACK,35,1,0,04/04/2026,home
90731011-WHITE,77,4,1,04/04/2026,search
90731012-BLACK,101,10,4,04/04/2026,search
90731013-GREEN,27,2,1,04/04/2026,recommendation
90731014-WOOD,36,0,4,04/04/2026,product
90731015-GRAY,17,1,1,04/04/2026,search
90731016-WHITE,33,2,1,04/04/2026,category
90731017-BLACK,29,1,1,04/04/2026,search
90731018-BEIGE,37,2,2,04/04/2026,category
90731019-WHITE,56,1,1,04/04/2026,home
90731020-BLUE,41,3,1,04/04/2026,recommendation
90731021-WHITE,6,0,0,04/04/2026,category
90731022-GRAY,17,0,1,04/04/2026,product
90731023-BLACK,33,1,4,04/04/2026,search
90731024-WOOD,32,4,1,04/04/2026,recommendation
90731025-BLUE,20,0,1,04/04/2026,product
90731026-GREEN,10,1,0,04/04/2026,home
90731027-BLACK,21,1,1,04/04/2026,recommendation
90731028-WHITE,25,1,1,04/04/2026,search
90731029-GRAY,11,0,0,04/04/2026,search
90731030-BEIGE,23,1,0,04/04/2026,recommendation
90731031-WHITE,14,0,0,04/04/2026,search
90731032-BLACK,14,0,2,04/04/2026,search
90731033-GREEN,44,2,1,04/04/2026,search
90741001-WHITE,10,0,0,04/04/2026,category
90741002-BLACK,22,0,1,04/04/2026,category
90741003-GRAY,27,3,0,04/04/2026,home
90741004-BEIGE,52,2,2,04/04/2026,recommendation
90741005-WOOD,92,9,5,04/04/2026,category
90741006-BLUE,14,0,1,04/04/2026,product
90741007-WHITE,21,1,2,04/04/2026,search
90741008-GREEN,7,0,0,04/04/2026,recommendation
90741009-BLACK,44,4,1,04/04/2026,search
90741010-WHITE,21,1,2,04/04/2026,search
90741011-BEIGE,63,4,1,04/04/2026,product
90741012-GRAY,59,3,3,04/04/2026,category
90741013-WOOD,19,2,2,04/04/2026,home
90741014-BLUE,29,0,1,04/04/2026,recommendation
90741015-BLACK,15,0,0,04/04/2026,search
90741016-WHITE,40,0,1,04/04/2026,recommendation
90741017-GREEN,14,0,1,04/04/2026,search
90741018-GRAY,15,1,0,04/04/2026,home
90741019-BEIGE,44,3,0,04/04/2026,recommendation
90741020-WOOD,7,1,0,04/04/2026,home
90751001-BLACK,22,0,2,04/04/2026,home
90751002-WHITE,45,6,6,04/04/2026,product
90751003-GRAY,7,0,0,04/04/2026,category
90751004-BEIGE,39,1,0,04/04/2026,search
90751005-BLUE,29,1,0,04/04/2026,product
90751006-WOOD,14,1,0,04/04/2026,product
90751007-BLACK,27,6,1,04/04/2026,search
90751008-WHITE,23,0,0,04/04/2026,search
90751009-GREEN,14,1,0,04/04/2026,recommendation
90751010-BLUE,57,4,3,04/04/2026,home
90751011-WHITE,45,2,1,04/04/2026,home
90751012-BLACK,71,5,4,04/04/2026,home
90751013-BEIGE,12,0,0,04/04/2026,category
90751014-GREEN,25,1,0,04/04/2026,recommendation
90751015-WOOD,21,2,0,04/04/2026,product
90751016-BLUE,28,2,0,04/04/2026,home
90751017-GRAY,48,0,0,04/04/2026,category
90751018-BLACK,54,4,6,04/04/2026,home
90751019-WHITE,53,6,1,04/04/2026,search
90751020-BEIGE,62,6,0,04/04/2026,category
90751021-GREEN,13,0,0,04/04/2026,recommendation
90751022-BLUE,7,0,1,04/04/2026,recommendation
90751023-WOOD,34,0,0,04/04/2026,search
90751024-GRAY,74,4,4,04/04/2026,category
90751025-BEIGE,57,3,2,04/04/2026,search
90751026-WHITE,44,0,1,04/04/2026,home
90751027-BLACK,46,3,1,04/04/2026,recommendation
90751028-BROWN,32,1,1,04/04/2026,recommendation
90732001-500G,33,1,0,04/04/2026,recommendation
90732002-1KG,22,1,1,04/04/2026,search
90732003-200G,39,1,2,04/04/2026,home
90732004-500ML,23,1,1,04/04/2026,category
