skuid,order_id,quantity,status,created_at
62316095,ORD20260103000001,1,completed,2026-01-03T08:14:22.436022
1982137274,ORD20260107000002,2,shipped,2026-01-07T19:45:10.436022
059035342X,ORD20260112000003,1,completed,2026-01-12T11:32:56.436022
307474275,ORD20260118000004,3,completed,2026-01-18T23:05:41.436022
140449132,ORD20260122000005,1,cancelled,2026-01-22T06:27:33.436022
61120081,ORD20260125000006,2,completed,2026-01-25T15:49:08.436022
553386794,ORD20260129000007,1,shipped,2026-01-29T21:10:55.436022
544003411,ORD20260202000008,3,completed,2026-03-02T09:36:17.436022
62316117,ORD20260205000009,1,completed,2026-03-05T14:22:49.436022
143127748,ORD20260208000010,2,cancelled,2026-03-08T18:11:03.436022
1594634025,ORD20260211000011,1,completed,2026-03-11T07:58:26.436022
038549081X,ORD20260214000012,3,shipped,2026-03-14T20:44:12.436022
62457713,ORD20260217000013,1,completed,2026-03-17T12:09:37.436022
142437239,ORD20260219000014,2,completed,2026-03-19T16:55:28.436022
030788744X,ORD20260221000015,1,cancelled,2026-03-24T10:13:59.436022
62315005,ORD20260224000016,3,completed,2026-03-24T22:47:05.436022
596007120,ORD20260226000017,1,shipped,2026-03-26T05:39:44.436022
262033844,ORD20260301000018,2,completed,2026-03-01T13:28:16.436022
132350882,ORD20260303000019,1,completed,2026-03-03T17:06:51.436022
735211299,ORD20260305000020,3,cancelled,2026-03-05T08:50:33.436022
385472579,ORD20260307000021,1,completed,2026-03-07T19:21:07.436022
60850523,ORD20260308000022,2,shipped,2026-03-08T23:34:42.436022
143039954,ORD20260310000023,1,completed,2026-03-10T06:12:25.436022
1501128035,ORD20260311000024,3,completed,2026-03-11T15:46:18.436022
525559477,ORD20260312000025,1,cancelled,2026-03-12T20:03:54.436022
804139296,ORD20260313000026,2,completed,2026-03-13T11:27:39.436022
66620996,ORD20260314000027,1,shipped,2026-03-14T09:18:06.436022
006245773X,ORD20260315000028,3,completed,2026-03-15T18:42:57.436022
451524934,ORD20260316000029,1,completed,2026-03-16T07:55:21.436022
316769487,ORD20260317000030,2,cancelled,2026-03-17T14:09:48.436022
671027034,ORD20260102000031,1,completed,2026-01-02T05:21:44.436022
1982157283,ORD20260104000032,2,shipped,2026-01-04T17:38:29.436022
593230256,ORD20260106000033,1,completed,2026-01-06T12:11:53.436022
