order_id,skuid,quantity,price,timestamp
ORD0001,62316095,1,1944,09-10-2025 08:45
ORD0001,1982137274,3,2730,17-10-2025 08:45
ORD0001,059035342X,3,1953,30-09-2025 08:45
ORD0001,307474275,2,3934,16-10-2025 08:45
ORD0002,140449132,2,3632,15-10-2025 08:45
ORD0002,61120081,1,1391,30-09-2025 08:45
ORD0002,553386794,1,862,28-09-2025 08:45
ORD0003,544003411,2,3524,06-10-2025 08:45
ORD0003,62316117,2,2074,08-10-2025 08:45
ORD0003,143127748,3,3873,19-09-2025 08:45
ORD0004,1594634025,3,3210,14-10-2025 08:45
ORD0004,038549081X,2,2758,04-10-2025 08:45
ORD0004,62457713,2,2806,17-09-2025 08:45
ORD0004,142437239,3,3930,06-10-2025 08:45
ORD0004,030788744X,2,3194,13-10-2025 08:45
ORD0005,62315005,3,1080,06-10-2025 08:45
ORD0005,596007120,2,1528,16-10-2025 08:45
ORD0005,262033844,2,3262,16-10-2025 08:45
ORD0005,132350882,3,2859,22-09-2025 08:45
ORD0005,735211299,2,1402,02-10-2025 08:45
ORD0006,385472579,1,1379,24-09-2025 08:45
ORD0006,60850523,2,3656,07-10-2025 08:45
ORD0006,143039954,2,1320,17-09-2025 08:45
ORD0006,1501128035,2,3902,28-09-2025 08:45
ORD0006,525559477,1,1157,13-10-2025 08:45
ORD0007,804139296,1,1208,12-10-2025 08:45
ORD0007,66620996,3,3642,01-10-2025 08:45
ORD0007,006245773X,1,1298,30-09-2025 08:45
ORD0007,451524934,1,393,27-09-2025 08:45
ORD0008,316769487,2,2692,22-09-2025 08:45
ORD0008,671027034,2,2578,17-10-2025 08:45
ORD0008,1982157283,2,3512,19-09-2025 08:45
ORD0008,593230256,1,713,01-10-2025 08:45
ORD0009,345803485,1,392,23-09-2025 08:45
ORD0009,081298160X,1,1762,02-10-2025 08:45
ORD0010,590353403,1,1403,30-09-2025 08:45
ORD0010,143110438,2,2230,09-10-2025 08:45
ORD0010,307465357,2,1850,13-10-2025 08:45
ORD0010,140283331,3,5166,22-09-2025 08:45
ORD0010,62315008,3,1257,24-09-2025 08:45
ORD0011,307346617,2,1052,29-09-2025 08:45
ORD0011,61992275,1,977,02-10-2025 08:45
ORD0012,006256577X,1,1088,12-10-2025 08:45
ORD0012,1250316774,1,614,10-10-2025 08:45
ORD0013,62457715,3,1218,15-10-2025 08:45
ORD0013,307277674,1,782,16-10-2025 08:45
ORD0013,385484518,1,1208,15-10-2025 08:45
ORD0014,1501173219,2,3656,02-10-2025 08:45
ORD0014,143130722,3,942,21-09-2025 08:45
ORD0014,399590501,1,1828,16-10-2025 08:45
ORD0015,62316112,2,2122,29-09-2025 08:45
ORD0015,307719227,3,4914,03-10-2025 08:45
ORD0016,143127550,2,3486,30-09-2025 08:45
ORD0016,62315009,1,1061,07-10-2025 08:45
ORD0016,143126562,2,1724,13-10-2025 08:45
ORD0016,62316113,2,3524,04-10-2025 08:45
ORD0017,307463740,2,3414,21-09-2025 08:45
ORD0017,62871337,1,1531,09-10-2025 08:45
ORD0017,307273601,2,3114,02-10-2025 08:45
ORD0018,1501161933,1,239,15-10-2025 08:45
ORD0018,140280197,1,1379,17-09-2025 08:45
ORD0019,1455586691,1,1914,15-10-2025 08:45
ORD0019,62316107,2,1594,17-10-2025 08:45
ORD0020,90711001-BEIGE,2,1820,04-10-2025 08:45
ORD0020,90711002-WHITE,2,1548,01-10-2025 08:45
ORD0020,90711003-BLACK,1,246,04-10-2025 08:45
ORD0021,90711004-GREEN,3,3063,02-10-2025 08:45
ORD0021,90711005-OAK,2,1796,17-10-2025 08:45
ORD0021,90711006-BLUE,1,363,06-10-2025 08:45
ORD0022,90711007-GRAY,1,400,29-09-2025 08:45
ORD0022,90711008-WHITE,3,687,07-10-2025 08:45
ORD0022,90721001-BLACK,1,1944,01-10-2025 08:45
ORD0023,90721002-WHITE,2,3280,08-10-2025 08:45
ORD0023,90721003-BEIGE,2,2630,23-09-2025 08:45
ORD0024,90721004-GREEN,1,1557,06-10-2025 08:45
ORD0024,90721005-WOOD,3,2142,25-09-2025 08:45
ORD0025,90721006-BLUE,1,1229,07-10-2025 08:45
ORD0025,90721007-WHITE,2,1258,29-09-2025 08:45
ORD0025,90721008-GRAY,3,4671,12-10-2025 08:45
ORD0025,90721009-BLACK,2,3280,11-10-2025 08:45
ORD0025,90721010-WOOD,3,5262,11-10-2025 08:45
ORD0026,90731001-WHITE,3,5901,21-09-2025 08:45
ORD0026,90731002-GRAY,1,951,13-10-2025 08:45
ORD0027,90731003-BLACK,1,1383,13-10-2025 08:45
ORD0027,90731004-BEIGE,1,273,17-10-2025 08:45
ORD0027,90731005-WOOD,1,305,12-10-2025 08:45
ORD0027,90731006-BLUE,2,3508,16-10-2025 08:45
ORD0027,90731007-WHITE,3,2853,12-10-2025 08:45
ORD0028,90731008-GREEN,2,492,26-09-2025 08:45
ORD0028,90731009-GRAY,2,2484,30-09-2025 08:45
ORD0028,90731010-BLACK,1,1088,03-10-2025 08:45
ORD0028,90731011-WHITE,3,1485,20-09-2025 08:45
ORD0029,90731012-BLACK,3,2694,28-09-2025 08:45
ORD0029,90731013-GREEN,2,3666,04-10-2025 08:45
ORD0029,90731014-WOOD,1,1116,08-10-2025 08:45
ORD0029,90731015-GRAY,1,1828,24-09-2025 08:45
ORD0029,90731016-WHITE,2,1368,25-09-2025 08:45
ORD0030,90731017-BLACK,3,2784,24-09-2025 08:45
ORD0030,90731018-BEIGE,2,3888,21-09-2025 08:45
ORD0030,90731019-WHITE,1,230,04-10-2025 08:45
ORD0030,90731020-BLUE,1,1042,26-09-2025 08:45
ORD0030,90731021-WHITE,1,713,26-09-2025 08:45
ORD0031,90731022-GRAY,2,3602,08-10-2025 08:45
