order_id,skuid,seller_id,created_at,price
O81,62316095,S001,19-09-2025 00:00,899.5
O82,1982137274,S001,19-09-2025 00:00,750
O83,059035342X,S001,19-09-2025 00:00,650
O84,307474275,S001,19-09-2025 00:00,899
O85,140449132,S001,19-09-2025 00:00,499
O86,61120081,S001,19-09-2025 00:00,620
O87,553386794,S001,19-09-2025 00:00,799
O88,544003411,S001,19-09-2025 00:00,720
O89,62316117,S001,19-09-2025 00:00,950
O90,143127748,S001,19-09-2025 00:00,650
O91,1594634025,S001,19-09-2025 00:00,690
O92,038549081X,S001,19-09-2025 00:00,540
O93,62457713,S001,19-09-2025 00:00,780
O94,142437239,S001,19-09-2025 00:00,550
O95,030788744X,S001,19-09-2025 00:00,720
O96,62315005,S001,19-09-2025 00:00,650
O97,596007120,S001,19-09-2025 00:00,2100
O98,262033844,S001,19-09-2025 00:00,3200
O99,132350882,S001,19-09-2025 00:00,1900
O100,735211299,S001,19-09-2025 00:00,800
O101,385472579,S001,19-09-2025 00:00,690
O102,60850523,S001,19-09-2025 00:00,560
O103,143039954,S001,19-09-2025 00:00,880
O104,1501128035,S001,19-09-2025 00:00,720
O105,525559477,S001,19-09-2025 00:00,680
O106,804139296,S001,19-09-2025 00:00,710
O107,66620996,S001,19-09-2025 00:00,640
O108,006245773X,S001,19-09-2025 00:00,890
O109,451524934,S001,19-09-2025 00:00,420
O110,316769487,S001,19-09-2025 00:00,520
O111,671027034,S001,19-09-2025 00:00,780
O112,1982157283,S001,19-09-2025 00:00,740
O113,593230256,S001,19-09-2025 00:00,600
O114,345803485,S001,19-09-2025 00:00,890
O115,081298160X,S001,19-09-2025 00:00,650
O116,590353403,S001,19-09-2025 00:00,680
O117,143110438,S001,19-09-2025 00:00,840
O118,307465357,S001,19-09-2025 00:00,720
O119,140283331,S001,19-09-2025 00:00,500
O120,62315008,S001,19-09-2025 00:00,670
O121,307346617,S001,19-09-2025 00:00,980
O122,61992275,S001,19-09-2025 00:00,620
O123,006256577X,S001,19-09-2025 00:00,850
O124,1250316774,S001,19-09-2025 00:00,720
O125,62457715,S001,19-09-2025 00:00,980
O126,307277674,S001,19-09-2025 00:00,620
O127,385484518,S001,19-09-2025 00:00,560
O128,1501173219,S001,19-09-2025 00:00,740
O129,143130722,S001,19-09-2025 00:00,630
O130,399590501,S001,19-09-2025 00:00,1100
O131,62316112,S001,19-09-2025 00:00,780
O132,307719227,S001,19-09-2025 00:00,690
O133,143127550,S001,19-09-2025 00:00,640
O134,62315009,S001,19-09-2025 00:00,820
O135,143126562,S001,19-09-2025 00:00,1100
O136,62316113,S001,19-09-2025 00:00,610
O137,307463740,S001,19-09-2025 00:00,720
O138,62871337,S001,19-09-2025 00:00,880
O139,307273601,S001,19-09-2025 00:00,740
O140,1501161933,S001,19-09-2025 00:00,760
O141,140280197,S001,19-09-2025 00:00,580
O142,1455586691,S001,19-09-2025 00:00,690
O143,62316107,S001,19-09-2025 00:00,820
O144,140449266,S001,19-09-2025 00:00,699
O145,679783275,S001,19-09-2025 00:00,599
O146,307743657,S001,19-09-2025 00:00,550
O147,61122415,S001,19-09-2025 00:00,620
O148,142437247,S001,19-09-2025 00:00,799
O149,553213119,S001,19-09-2025 00:00,950
O150,60853983,S001,19-09-2025 00:00,680
O151,131103627,S001,19-09-2025 00:00,3500
O152,1491957660,S001,19-09-2025 00:00,2200
O153,141182803,S001,19-09-2025 00:00,520
O154,60935467,S001,19-09-2025 00:00,580
O155,307387892,S001,19-09-2025 00:00,650
O156,140449334,S001,19-09-2025 00:00,720
O157,812981606,S001,19-09-2025 00:00,630
O158,679734529,S001,19-09-2025 00:00,750
O159,307476463,S001,19-09-2025 00:00,880
O160,62315001,S001,19-09-2025 00:00,650
O161,553573404,S001,19-09-2025 00:00,920
O162,62315002,S001,19-09-2025 00:00,700
O163,1451673319,S001,19-09-2025 00:00,499
O164,261103573,S001,19-09-2025 00:00,1500
O165,140449273,S001,19-09-2025 00:00,680
O166,307949486,S001,19-09-2025 00:00,980
O167,62457716,S001,19-09-2025 00:00,920
O168,140449198,S001,19-09-2025 00:00,680
O169,679410430,S001,19-09-2025 00:00,720
O170,140449181,S001,19-09-2025 00:00,650
O171,307278449,S001,19-09-2025 00:00,700
O172,1591846445,S001,19-09-2025 00:00,740
O173,385545969,S001,19-09-2025 00:00,999
O174,62316114,S001,19-09-2025 00:00,780
O175,143127745,S001,19-09-2025 00:00,880
O176,807014295,S001,19-09-2025 00:00,600
O177,525536291,S001,19-09-2025 00:00,1200
O178,140449204,S001,19-09-2025 00:00,650
O179,307271037,S001,19-09-2025 00:00,699
O180,90711001-BEIGE,S001,19-09-2025 00:00,2100
O181,90711002-WHITE,S001,19-09-2025 00:00,950
O182,90711003-BLACK,S001,19-09-2025 00:00,3400
O183,90711004-GREEN,S001,19-09-2025 00:00,780
O184,90711005-OAK,S001,19-09-2025 00:00,5200
O185,90711006-BLUE,S001,19-09-2025 00:00,1800
O186,90711007-GRAY,S001,19-09-2025 00:00,4300
O187,90711008-WHITE,S001,19-09-2025 00:00,980
O188,90721001-BLACK,S001,19-09-2025 00:00,6200
O189,90721002-WHITE,S001,19-09-2025 00:00,650
O190,90721003-BEIGE,S001,19-09-2025 00:00,7200
O191,90721004-GREEN,S001,19-09-2025 00:00,540
O192,90721005-WOOD,S001,19-09-2025 00:00,3100
O193,90721006-BLUE,S001,19-09-2025 00:00,880
O194,90721007-WHITE,S001,19-09-2025 00:00,1250
O195,90721008-GRAY,S001,19-09-2025 00:00,990
O196,90721009-BLACK,S001,19-09-2025 00:00,7200
O197,90721010-WOOD,S001,19-09-2025 00:00,1150
O198,90731001-WHITE,S001,19-09-2025 00:00,3400
O199,90731002-GRAY,S001,19-09-2025 00:00,7800
O200,90731003-BLACK,S001,19-09-2025 00:00,520
O201,90731004-BEIGE,S001,19-09-2025 00:00,2600
O202,90731005-WOOD,S001,19-09-2025 00:00,9500
O203,90731006-BLUE,S001,19-09-2025 00:00,420
O204,90731007-WHITE,S001,19-09-2025 00:00,750
O205,90731008-GREEN,S001,19-09-2025 00:00,6800
O206,90731009-GRAY,S001,19-09-2025 00:00,32500
O207,90731010-BLACK,S001,19-09-2025 00:00,260
O208,90731011-WHITE,S001,19-09-2025 00:00,1800
O209,90731012-BLACK,S001,19-09-2025 00:00,4200
O210,90731013-GREEN,S001,19-09-2025 00:00,690
O211,90731014-WOOD,S001,19-09-2025 00:00,2100
O212,90731015-GRAY,S001,19-09-2025 00:00,1200
O213,90731016-WHITE,S001,19-09-2025 00:00,850
O214,90731017-BLACK,S001,19-09-2025 00:00,650
O215,90731018-BEIGE,S001,19-09-2025 00:00,8900
O216,90731019-WHITE,S001,19-09-2025 00:00,1200
O217,90731020-BLUE,S001,19-09-2025 00:00,1900
O218,90731021-WHITE,S001,19-09-2025 00:00,980
O219,90731022-GRAY,S001,19-09-2025 00:00,620
O220,90731023-BLACK,S001,19-09-2025 00:00,1450
O221,90731024-WOOD,S001,19-09-2025 00:00,18900
O222,90731025-BLUE,S001,19-09-2025 00:00,580
O223,90731026-GREEN,S001,19-09-2025 00:00,5200
O224,90731027-BLACK,S001,19-09-2025 00:00,1500
O225,90731028-WHITE,S001,19-09-2025 00:00,390
O226,90731029-GRAY,S001,19-09-2025 00:00,2200
O227,90731030-BEIGE,S001,19-09-2025 00:00,3200
O228,90731031-WHITE,S001,19-09-2025 00:00,650
O229,90731032-BLACK,S001,19-09-2025 00:00,4900
O230,90731033-GREEN,S001,19-09-2025 00:00,720
O231,90741001-WHITE,S001,19-09-2025 00:00,6500
O232,90741002-BLACK,S001,19-09-2025 00:00,8200
O233,90741003-GRAY,S001,19-09-2025 00:00,9500
O234,90741004-BEIGE,S001,19-09-2025 00:00,28900
O235,90741005-WOOD,S001,19-09-2025 00:00,7800
O236,90741006-BLUE,S001,19-09-2025 00:00,4200
O237,90741007-WHITE,S001,19-09-2025 00:00,3500
O238,90741008-GREEN,S001,19-09-2025 00:00,600
O239,90741009-BLACK,S001,19-09-2025 00:00,5200
O240,90741010-WHITE,S001,19-09-2025 00:00,4800
O241,90741011-BEIGE,S001,19-09-2025 00:00,4200
O242,90741012-GRAY,S001,19-09-2025 00:00,35500
O243,90741013-WOOD,S001,19-09-2025 00:00,26500
O244,90741014-BLUE,S001,19-09-2025 00:00,2200
O245,90741015-BLACK,S001,19-09-2025 00:00,12900
O246,90741016-WHITE,S001,19-09-2025 00:00,15000
O247,90741017-GREEN,S001,19-09-2025 00:00,1900
O248,90741018-GRAY,S001,19-09-2025 00:00,42000
O249,90741019-BEIGE,S001,19-09-2025 00:00,6500
O250,90741020-WOOD,S001,19-09-2025 00:00,7200
O251,90751001-BLACK,S001,19-09-2025 00:00,1900
O252,90751002-WHITE,S001,19-09-2025 00:00,3200
O253,90751003-GRAY,S001,19-09-2025 00:00,14500
O254,90751004-BEIGE,S001,19-09-2025 00:00,21000
O255,90751005-BLUE,S001,19-09-2025 00:00,8900
O256,90751006-WOOD,S001,19-09-2025 00:00,7200
O257,90751007-BLACK,S001,19-09-2025 00:00,32000
O258,90751008-WHITE,S001,19-09-2025 00:00,5400
O259,90751009-GREEN,S001,19-09-2025 00:00,450
O260,90751010-BLUE,S001,19-09-2025 00:00,900
O261,90751011-WHITE,S001,19-09-2025 00:00,6500
O262,90751012-BLACK,S001,19-09-2025 00:00,2800
O263,90751013-BEIGE,S001,19-09-2025 00:00,28000
O264,90751014-GREEN,S001,19-09-2025 00:00,1200
O265,90751015-WOOD,S001,19-09-2025 00:00,18500
O266,90751016-BLUE,S001,19-09-2025 00:00,650
O267,90751017-GRAY,S001,19-09-2025 00:00,9500
O268,90751018-BLACK,S001,19-09-2025 00:00,2200
O269,90751019-WHITE,S001,19-09-2025 00:00,1800
O270,90751020-BEIGE,S001,19-09-2025 00:00,6200
O271,90751021-GREEN,S001,19-09-2025 00:00,4500
O272,90751022-BLUE,S001,19-09-2025 00:00,7800
O273,90751023-WOOD,S001,19-09-2025 00:00,15500
O274,90751024-GRAY,S001,19-09-2025 00:00,1200
O275,90751025-BEIGE,S001,19-09-2025 00:00,4000
O276,90751026-WHITE,S001,19-09-2025 00:00,900
O277,90751027-BLACK,S001,19-09-2025 00:00,350
O278,90751028-BROWN,S001,19-09-2025 00:00,24500
O279,90732001-500G,S001,19-09-2025 00:00,320
O280,90732002-1KG,S001,19-09-2025 00:00,65
O281,90732003-200G,S001,19-09-2025 00:00,55
O282,90732004-500ML,S001,19-09-2025 00:00,120
O283,90732005-1L,S001,19-09-2025 00:00,68
O284,90732006-250G,S001,19-09-2025 00:00,380
O285,90732007-100G,S001,19-09-2025 00:00,75
O286,90732008-500G,S001,19-09-2025 00:00,40
O287,90732009-200G,S001,19-09-2025 00:00,95
O288,90732010-150G,S001,19-09-2025 00:00,35
O289,90732011-1KG,S001,19-09-2025 00:00,140
O290,90732012-1KG,S001,19-09-2025 00:00,185
O291,90732013-500G,S001,19-09-2025 00:00,120
O292,90732014-200G,S001,19-09-2025 00:00,65
O293,90732015-750ML,S001,19-09-2025 00:00,820
O294,90732016-400G,S001,19-09-2025 00:00,95
O295,90732017-200G,S001,19-09-2025 00:00,110
O296,90732018-500G,S001,19-09-2025 00:00,95
O297,90732019-250G,S001,19-09-2025 00:00,160
O298,90732020-300G,S001,19-09-2025 00:00,210
O299,90732021-1KG,S001,19-09-2025 00:00,160
O300,90732022-500G,S001,19-09-2025 00:00,70
O301,90732023-1L,S001,19-09-2025 00:00,45
O302,90732024-500G,S001,19-09-2025 00:00,55
O303,90732025-200G,S001,19-09-2025 00:00,140
O304,90732026-1KG,S001,19-09-2025 00:00,90
O305,90732027-100G,S001,19-09-2025 00:00,85
O306,90732028-500G,S001,19-09-2025 00:00,110
O307,90732029-750ML,S001,19-09-2025 00:00,140
