rma_id,sku_id,created_at,seller_id,order_id,status
RMA_0001,62316095,21-02-2026 09:37,S001,ORD_50001,pending
RMA_0002,1982137274,03-04-2026 06:38,S001,ORD_50002,pending
RMA_0003,059035342X,15-01-2026 16:48,S001,ORD_50003,pending
RMA_0004,307474275,13-03-2026 03:05,S001,ORD_50004,pending
RMA_0005,140449132,02-03-2026 12:39,S001,ORD_50005,pending
RMA_0006,61120081,21-01-2026 03:11,S001,ORD_50006,pending
RMA_0007,553386794,24-03-2026 04:52,S001,ORD_50007,pending
RMA_0008,544003411,28-03-2026 21:13,S001,ORD_50008,pending
RMA_0009,62316117,16-03-2026 03:43,S001,ORD_50009,pending
RMA_0010,143127748,16-03-2026 17:54,S001,ORD_50010,pending
RMA_0011,1594634025,29-03-2026 05:09,S001,ORD_50011,pending
RMA_0012,038549081X,24-01-2026 23:53,S001,ORD_50012,pending
RMA_0013,62457713,03-01-2026 23:19,S001,ORD_50013,pending
RMA_0014,142437239,22-01-2026 22:14,S001,ORD_50014,pending
RMA_0015,030788744X,22-02-2026 21:30,S001,ORD_50015,pending
RMA_0016,62315005,02-01-2026 01:06,S001,ORD_50016,pending
RMA_0017,596007120,29-03-2026 22:57,S001,ORD_50017,pending
RMA_0018,262033844,30-01-2026 10:40,S001,ORD_50018,pending
RMA_0019,132350882,07-02-2026 13:09,S001,ORD_50019,pending
RMA_0020,735211299,02-01-2026 04:09,S001,ORD_50020,pending
RMA_0021,385472579,05-03-2026 05:47,S001,ORD_50021,pending
RMA_0022,60850523,01-03-2026 09:38,S001,ORD_50022,pending
RMA_0023,143039954,21-01-2026 07:27,S001,ORD_50023,pending
RMA_0024,1501128035,02-02-2026 13:29,S001,ORD_50024,pending
RMA_0025,525559477,17-03-2026 23:36,S001,ORD_50025,pending
RMA_0026,804139296,27-02-2026 02:54,S001,ORD_50026,pending
RMA_0027,66620996,22-01-2026 11:02,S001,ORD_50027,pending
RMA_0028,006245773X,30-03-2026 15:49,S001,ORD_50028,pending
RMA_0029,451524934,18-02-2026 22:42,S001,ORD_50029,pending
RMA_0030,316769487,01-04-2026 16:14,S001,ORD_50030,pending
RMA_0031,671027034,28-02-2026 00:20,S001,ORD_50031,pending
RMA_0032,1982157283,11-02-2026 22:51,S001,ORD_50032,pending
RMA_0033,593230256,02-04-2026 09:36,S001,ORD_50033,pending
RMA_0034,345803485,01-03-2026 22:55,S001,ORD_50034,pending
RMA_0035,081298160X,21-03-2026 09:11,S001,ORD_50035,pending
RMA_0036,590353403,15-01-2026 20:03,S001,ORD_50036,pending
RMA_0037,143110438,03-03-2026 23:46,S001,ORD_50037,pending
RMA_0038,307465357,03-03-2026 01:08,S001,ORD_50038,pending
RMA_0039,140283331,16-02-2026 08:38,S001,ORD_50039,pending
RMA_0040,62315008,03-03-2026 21:41,S001,ORD_50040,pending
RMA_0041,307346617,20-02-2026 12:27,S001,ORD_50041,pending
RMA_0042,61992275,24-02-2026 15:22,S001,ORD_50042,pending
RMA_0043,006256577X,05-03-2026 17:44,S001,ORD_50043,pending
