sku_id,customer_rate,timestamp,seller_id
62316095,4.4,23-03-2026,S001
1982137274,3.9,15-01-2026,S001
059035342X,4.5,04-01-2026,S001
307474275,5,05-04-2026,S001
140449132,3.8,05-02-2026,S001
61120081,3.8,01-02-2026,S001
553386794,5,29-01-2026,S001
544003411,4.6,18-01-2026,S001
62316117,3.6,05-04-2026,S001
143127748,4.4,14-01-2026,S001
1594634025,3.6,28-03-2026,S001
038549081X,3.6,05-04-2026,S001
62457713,4.2,25-04-2026,S001
142437239,2.5,11-03-2026,S001
030788744X,2.6,12-01-2026,S001
62315005,3.6,17-03-2026,S001
596007120,3.2,24-02-2026,S001
262033844,4.3,05-01-2026,S001
132350882,3.3,04-01-2026,S001
735211299,2.9,12-01-2026,S001
385472579,5,28-01-2026,S001
60850523,3.8,30-01-2026,S001
143039954,4.1,06-03-2026,S001
1501128035,2.9,19-03-2026,S001
525559477,3.6,04-01-2026,S001
804139296,4.1,13-03-2026,S001
66620996,3.1,26-01-2026,S001
006245773X,4.3,02-04-2026,S001
451524934,3.5,25-03-2026,S001
316769487,3.8,31-03-2026,S001
671027034,3.5,11-03-2026,S001
1982157283,5,23-02-2026,S001
593230256,4,29-01-2026,S001
345803485,3.2,27-02-2026,S001
081298160X,4.7,17-03-2026,S001
590353403,3,05-02-2026,S001
143110438,4.2,14-04-2026,S001
307465357,2.4,22-04-2026,S001
140283331,2.9,01-01-2026,S001
62315008,4.2,08-04-2026,S001
307346617,4.6,14-04-2026,S001
61992275,4.1,21-01-2026,S001
006256577X,3.9,31-03-2026,S001
1250316774,3.8,24-02-2026,S001
62457715,2.8,13-02-2026,S001
307277674,3.4,05-02-2026,S001
385484518,3.6,20-01-2026,S001
1501173219,4.8,28-01-2026,S001
143130722,4.3,08-04-2026,S001
399590501,2.6,13-02-2026,S001
62316112,4.3,14-01-2026,S001
307719227,3.7,12-01-2026,S001
143127550,3.5,18-02-2026,S001
62315009,4.5,13-01-2026,S001
143126562,4.8,15-02-2026,S001
62316113,4.7,19-04-2026,S001
307463740,3.3,14-02-2026,S001
62871337,3.8,19-03-2026,S001
307273601,4.3,03-02-2026,S001
1501161933,4.8,14-04-2026,S001
140280197,3.6,06-01-2026,S001
1455586691,3.9,04-04-2026,S001
62316107,3.1,28-02-2026,S001
140449266,3,10-03-2026,S001
679783275,4.7,16-01-2026,S001
307743657,5,29-04-2026,S001
61122415,3.9,18-02-2026,S001
142437247,4.8,11-01-2026,S001
553213119,4.3,12-03-2026,S001
60853983,3.5,07-02-2026,S001
131103627,4.3,17-04-2026,S001
1491957660,5,22-03-2026,S001
141182803,4,21-03-2026,S001
60935467,5,24-04-2026,S001
307387892,1.9,21-04-2026,S001
140449334,4.7,16-02-2026,S001
812981606,4.1,15-03-2026,S001
679734529,3.8,25-01-2026,S001
307476463,4.1,01-04-2026,S001
62315001,2.4,09-01-2026,S001
553573404,3.8,06-01-2026,S001
62315002,4.3,26-03-2026,S001
1451673319,5,30-01-2026,S001
261103573,3.6,09-04-2026,S001
140449273,3.4,07-02-2026,S001
307949486,3.6,11-01-2026,S001
62457716,4.7,20-04-2026,S001
140449198,4.3,30-01-2026,S001
679410430,3.6,21-04-2026,S001
140449181,4.4,13-01-2026,S001
307278449,4.1,18-02-2026,S001
1591846445,4.8,05-02-2026,S001
385545969,3.4,28-02-2026,S001
62316114,3.7,23-03-2026,S001
143127745,3.7,17-04-2026,S001
807014295,2.8,16-02-2026,S001
525536291,4.2,21-01-2026,S001
140449204,4.2,17-02-2026,S001
307271037,4,15-02-2026,S001
90711001-BEIGE,3.8,27-01-2026,S001
90711002-WHITE,2.9,27-03-2026,S001
90711003-BLACK,3.7,04-02-2026,S001
90711004-GREEN,3.7,31-03-2026,S001
90711005-OAK,3.4,30-04-2026,S001
90711006-BLUE,3.9,29-03-2026,S001
90711007-GRAY,4.3,24-03-2026,S001
90711008-WHITE,5,10-01-2026,S001
90721001-BLACK,4.1,19-03-2026,S001
90721002-WHITE,4.2,23-03-2026,S001
90721003-BEIGE,3.9,22-01-2026,S001
90721004-GREEN,2.5,10-03-2026,S001
90721005-WOOD,4,04-04-2026,S001
90721006-BLUE,4,01-02-2026,S001
90721007-WHITE,5,21-01-2026,S001
90721008-GRAY,3.8,01-03-2026,S001
90721009-BLACK,4.2,18-02-2026,S001
90721010-WOOD,4,04-02-2026,S001
90731001-WHITE,3.1,29-04-2026,S001
90731002-GRAY,4.9,23-03-2026,S001
90731003-BLACK,4.6,30-03-2026,S001
90731004-BEIGE,4.6,13-03-2026,S001
90731005-WOOD,3.3,29-01-2026,S001
90731006-BLUE,5,29-03-2026,S001
90731007-WHITE,2.9,11-02-2026,S001
90731008-GREEN,4.5,18-04-2026,S001
90731009-GRAY,5,09-04-2026,S001
90731010-BLACK,3.2,10-04-2026,S001
90731011-WHITE,3.5,08-01-2026,S001
90731012-BLACK,4.1,30-01-2026,S001
90731013-GREEN,3.6,16-04-2026,S001
90731014-WOOD,2.8,05-01-2026,S001
90731015-GRAY,4.1,14-04-2026,S001
90731016-WHITE,3.2,10-02-2026,S001
90731017-BLACK,4.4,21-02-2026,S001
90731018-BEIGE,3.3,04-02-2026,S001
90731019-WHITE,5,09-01-2026,S001
90731020-BLUE,3.4,28-01-2026,S001
90731021-WHITE,3.7,27-04-2026,S001
90731022-GRAY,4.7,14-03-2026,S001
90731023-BLACK,3,23-04-2026,S001
90731024-WOOD,4.2,02-04-2026,S001
90731025-BLUE,5,10-02-2026,S001
90731026-GREEN,2.7,28-01-2026,S001
90731027-BLACK,4.1,25-03-2026,S001
90731028-WHITE,4.2,05-03-2026,S001
90731029-GRAY,4.6,20-02-2026,S001
90731030-BEIGE,3,24-04-2026,S001
90731031-WHITE,2.9,28-04-2026,S001
90731032-BLACK,4.4,24-03-2026,S001
90731033-GREEN,4.2,28-02-2026,S001
90741001-WHITE,4.2,19-01-2026,S001
90741002-BLACK,4.3,03-02-2026,S001
90741003-GRAY,3.5,18-01-2026,S001
90741004-BEIGE,4.2,01-02-2026,S001
90741005-WOOD,4.2,06-04-2026,S001
90741006-BLUE,3.4,13-03-2026,S001
90741007-WHITE,5,10-03-2026,S001
90741008-GREEN,4.4,03-02-2026,S001
90741009-BLACK,3,06-04-2026,S001
90741010-WHITE,4.5,16-03-2026,S001
90741011-BEIGE,3.2,24-02-2026,S001
90741012-GRAY,4.6,25-04-2026,S001
90741013-WOOD,4.9,16-03-2026,S001
90741014-BLUE,3.3,21-02-2026,S001
90741015-BLACK,4.8,16-02-2026,S001
90741016-WHITE,4.3,29-01-2026,S001
90741017-GREEN,4.7,18-01-2026,S001
90741018-GRAY,5,07-03-2026,S001
90741019-BEIGE,3.8,05-03-2026,S001
90741020-WOOD,3.4,12-01-2026,S001
90751001-BLACK,3.3,07-04-2026,S001
90751002-WHITE,3.3,07-01-2026,S001
90751003-GRAY,3.9,21-04-2026,S001
90751004-BEIGE,4.3,15-01-2026,S001
90751005-BLUE,4.2,20-01-2026,S001
90751006-WOOD,4.7,22-03-2026,S001
90751007-BLACK,4,21-01-2026,S001
90751008-WHITE,5,12-04-2026,S001
90751009-GREEN,3.8,29-03-2026,S001
90751010-BLUE,5,24-02-2026,S001
90751011-WHITE,4.5,18-03-2026,S001
90751012-BLACK,3.3,09-01-2026,S001
90751013-BEIGE,3.1,19-02-2026,S001
90751014-GREEN,4.4,18-02-2026,S001
90751015-WOOD,3.8,18-03-2026,S001
90751016-BLUE,4.6,01-03-2026,S001
90751017-GRAY,4.4,09-03-2026,S001
90751018-BLACK,3.9,02-02-2026,S001
90751019-WHITE,3.3,12-03-2026,S001
90751020-BEIGE,2.8,21-04-2026,S001
90751021-GREEN,3.6,02-01-2026,S001
90751022-BLUE,4.7,29-03-2026,S001
90751023-WOOD,4.2,03-04-2026,S001
90751024-GRAY,3,15-01-2026,S001
90751025-BEIGE,4.1,29-03-2026,S001
90751026-WHITE,4.3,24-04-2026,S001
90751027-BLACK,3.3,10-03-2026,S001
90751028-BROWN,4.1,07-04-2026,S001
90732001-500G,4,04-02-2026,S001
90732002-1KG,3.1,09-04-2026,S001
90732003-200G,4.3,24-03-2026,S001
90732004-500ML,4.4,13-02-2026,S001
90732005-1L,4.9,15-01-2026,S001
90732006-250G,4.8,07-02-2026,S001
90732007-100G,2.9,25-02-2026,S001
90732008-500G,3.2,21-01-2026,S001
90732009-200G,4.4,28-02-2026,S001
90732010-150G,4.4,01-01-2026,S001
90732011-1KG,4.4,03-04-2026,S001
90732012-1KG,5,23-04-2026,S001
90732013-500G,4.5,03-04-2026,S001
90732014-200G,4.9,03-02-2026,S001
90732015-750ML,4.8,06-03-2026,S001
90732016-400G,4.5,08-04-2026,S001
90732017-200G,3.7,23-01-2026,S001
90732018-500G,4.6,06-03-2026,S001
90732019-250G,3.4,27-04-2026,S001
90732020-300G,3.8,14-01-2026,S001
90732021-1KG,3.6,22-04-2026,S001
90732022-500G,4.1,22-03-2026,S001
90732023-1L,5,08-02-2026,S001
90732024-500G,2.5,18-04-2026,S001
90732025-200G,4.5,23-03-2026,S001
90732026-1KG,2.7,06-03-2026,S001
90732027-100G,3.6,19-03-2026,S001
90732028-500G,4.9,26-01-2026,S001
90732029-750ML,4.1,20-01-2026,S001
90732030-500G,3.1,17-02-2026,S001
90732031-500G,3.4,08-04-2026,S001
90732032-200G,4.5,21-01-2026,S001
90732033-500ML,3.4,11-03-2026,S001
90732034-100G,4.2,10-04-2026,S001
90732035-400G,4,29-04-2026,S001
90732036-500G,3.5,09-03-2026,S001
90732037-250G,5,28-04-2026,S001
90732038-200G,4.5,01-01-2026,S001
90732039-750ML,2.4,18-03-2026,S001
90732040-300G,4.1,11-02-2026,S001
90732041-1KG,3.5,04-03-2026,S001
90732042-500G,4.7,03-01-2026,S001
90732043-500G,3.4,15-01-2026,S001
90732044-200G,3.9,29-04-2026,S001
90732045-1L,4.4,16-02-2026,S001
90732046-200G,4.7,23-04-2026,S001
90732047-1KG,3,17-04-2026,S001
90732048-500G,3.7,14-04-2026,S001
90732049-250G,3.6,09-02-2026,S001
90732050-300G,3.5,31-01-2026,S001
90732051-2KG,5,08-01-2026,S001
90732052-5KG,4.3,31-01-2026,S001
90732053-100G,3,23-04-2026,S001
90732054-2L,4.7,14-03-2026,S001
90732055-500ML,5,11-01-2026,S001
90732056-100G,4.8,11-01-2026,S001
90732057-200G,2.8,04-04-2026,S001
90732058-2KG,3.6,04-03-2026,S001
90732059-500G,5,15-04-2026,S001
90732060-300G,3.4,09-01-2026,S001
90732101-750G,4.4,08-04-2026,S001
90732102-2KG,4.6,10-03-2026,S001
90732103-250G,3.3,09-04-2026,S001
90732104-750G,4,17-01-2026,S001
90732105-500G,1.4,17-01-2026,S001
90732106-750ML,3.2,26-03-2026,S001
90732107-200G,3.8,02-03-2026,S001
90732108-500ML,3,12-03-2026,S001
90732109-100G,5,22-01-2026,S001
90732110-300G,2.9,03-02-2026,S001
90732111-1KG,3.6,09-03-2026,S001
90732112-1L,4.1,22-04-2026,S001
90732113-250G,5,19-03-2026,S001
90732114-500G,2.9,24-02-2026,S001
90732115-150G,4.9,28-01-2026,S001
90732116-400G,4,29-04-2026,S001
90732117-1KG,3.2,11-03-2026,S001
90732118-300ML,4.4,07-04-2026,S001
90732119-1L,4.2,04-04-2026,S001
90732120-400G,3.5,30-03-2026,S001
90732121-2KG,4.1,26-01-2026,S001
90732122-750G,3.7,02-04-2026,S001
90732123-300G,4.1,09-02-2026,S001
90732124-1KG,4.5,21-02-2026,S001
90732125-200G,5,27-03-2026,S001
90732126-500ML,3,25-03-2026,S001
90732127-600G,5,17-02-2026,S001
90732128-300G,2.4,26-02-2026,S001
90732129-500G,3.9,26-04-2026,S001
90732130-1KG,4.5,08-03-2026,S001
90732131-250G,4.2,27-02-2026,S001
90732132-200G,3.5,16-01-2026,S001
90732133-500G,3.8,01-02-2026,S001
90732134-1KG,3.6,29-01-2026,S001
90732135-500ML,3.5,09-01-2026,S001
90732136-750G,4.7,13-02-2026,S001
90732137-400G,4.3,03-01-2026,S001
90732138-250G,3.4,17-03-2026,S001
90732139-300G,4.7,12-03-2026,S001
90733001-BLUE,4.2,30-01-2026,S001
90733002-A4,4.7,17-03-2026,S001
90733003-SET,4.5,29-01-2026,S001
90733004-BLACK,3.3,01-01-2026,S001
90733005-500,3.6,10-01-2026,S001
90733006-BLUE,4.6,01-04-2026,S001
90733007-WHITE,4.5,22-03-2026,S001
90733008-METAL,4,08-01-2026,S001
90733009-GLUE,4.1,30-01-2026,S001
90733010-RULER,5,09-01-2026,S001
90733011-BLUE,3.5,26-04-2026,S001
90733012-A4,4.4,05-01-2026,S001
90733013-METAL,3.8,21-04-2026,S001
90733014-WHITE,3.8,12-02-2026,S001
90733015-SET,4.9,10-01-2026,S001
90733016-A4,4.7,07-03-2026,S001
90733017-BLACK,4.7,31-01-2026,S001
90733018-METAL,5,05-02-2026,S001
90733019-SET,4,27-03-2026,S001
90733020-A4,4.5,04-03-2026,S001
90733021-BLACK,3.8,28-01-2026,S001
90733022-A4,4.3,11-03-2026,S001
90733023-WHITE,3.9,17-01-2026,S001
90733024-BLUE,4.1,03-04-2026,S001
90733025-BLACK,4.5,30-04-2026,S001
90733026-METAL,3.3,23-04-2026,S001
90733027-SET,5,15-03-2026,S001
90733028-BLUE,3.2,15-03-2026,S001
90733029-WHITE,3,02-03-2026,S001
90733030-BLUE,4.9,01-02-2026,S001
90733031-BLUE,4.6,11-04-2026,S001
90733032-BLACK,4.5,02-03-2026,S001
90733033-SET,4.5,14-04-2026,S001
90733034-WHITE,4,22-02-2026,S001
90733035-METAL,3.3,25-01-2026,S001
90733036-SET,4.1,13-01-2026,S001
90733037-WHITE,3.5,13-01-2026,S001
90733038-BLUE,4.8,26-03-2026,S001
